F S   UID   PID  PPID  C PRI  NI ADDR SZ WCHAN  TTY          TIME CMD
1 I     0    79     2  0  60 -20 -     0 -      ?        00:00:00 acpi_thermal_pm
1 S     0    80     2  0  80   0 -     0 -      ?        00:00:00 scsi_eh_0
1 I     0    81     2  0  60 -20 -     0 -      ?        00:00:00 scsi_tmf_0
1 S     0    82     2  0  80   0 -     0 -      ?        00:00:00 scsi_eh_1
1 I     0    83     2  0  60 -20 -     0 -      ?        00:00:00 scsi_tmf_1
1 I     0    89     2  0  60 -20 -     0 -      ?        00:00:00 ipv6_addrconf
1 I     0    98     2  0  60 -20 -     0 -      ?        00:00:00 kstrp
1 I     0   115     2  0  60 -20 -     0 -      ?        00:00:00 charger_manager
1 I     0   185     2  0  60 -20 -     0 -      ?        00:00:00 kworker/0:1H
1 S     0   197     2  0  80   0 -     0 -      ?        00:00:00 scsi_eh_2
1 I     0   198     2  0  60 -20 -     0 -      ?        00:00:00 scsi_tmf_2
1 I     0   273     2  0  60 -20 -     0 -      ?        00:00:00 raid5wq
1 S     0   333     2  0  80   0 -     0 -      ?        00:00:00 jbd2/sda2-8
1 I     0   334     2  0  60 -20 -     0 -      ?        00:00:00 ext4-rsv-conver
4 S     0   401     1  0  79  -1 - 23700 -      ?        00:00:00 systemd-journal
4 S     0   418     1  0  80   0 - 24427 -      ?        00:00:00 lvmetad
4 S     0   421     1  0  80   0 - 11679 -      ?        00:00:00 systemd-udevd
1 I     0   422     2  0  60 -20 -     0 -      ?        00:00:00 iscsi_eh
1 I     0   424     2  0  60 -20 -     0 -      ?        00:00:00 ib-comp-wq
1 I     0   425     2  0  60 -20 -     0 -      ?        00:00:00 ib-comp-unb-wq
1 I     0   426     2  0  60 -20 -     0 -      ?        00:00:00 ib_mcast
1 I     0   427     2  0  60 -20 -     0 -      ?        00:00:00 ib_nl_sa_wq
1 I     0   428     2  0  60 -20 -     0 -      ?        00:00:00 rdma_cm
1 S     0   444     2  0  60 -20 -     0 -      ?        00:00:00 loop0
1 S     0   446     2  0  60 -20 -     0 -      ?        00:00:00 loop1
1 I     0   449     2  0  60 -20 -     0 -      ?        00:00:00 iprt-VBoxWQueue
1 I     0   456     2  0  60 -20 -     0 -      ?        00:00:00 ttm_swap
1 S     0   592     2  0  80   0 -     0 -      ?        00:00:00 jbd2/sda5-8
1 I     0   593     2  0  60 -20 -     0 -      ?        00:00:00 ext4-rsv-conver
1 S     0   608     2  0  80   0 -     0 -      ?        00:00:00 jbd2/sda3-8
1 I     0   609     2  0  60 -20 -     0 -      ?        00:00:00 ext4-rsv-conver
4 S 62583   667     1  0  80   0 - 35483 -      ?        00:00:00 systemd-timesyn
4 S   100   840     1  0  80   0 - 20012 -      ?        00:00:00 systemd-network
4 S   101   860     1  0  80   0 - 17659 -      ?        00:00:00 systemd-resolve
4 S     1   937     1  0  80   0 -  7083 -      ?        00:00:00 atd
4 S   103   939     1  0  80   0 - 12514 -      ?        00:00:00 dbus-daemon
4 S     0   957     1  0  80   0 - 17670 -      ?        00:00:00 systemd-logind
4 S     0   966     1  0  80   0 - 42275 -      ?        00:00:00 networkd-dispat
4 S   102   968     1  0  80   0 - 65760 -      ?        00:00:00 rsyslogd
4 S     0   975     1  0  80   0 -  7507 -      ?        00:00:00 cron
4 S     0   976     1  0  80   0 - 71584 -      ?        00:00:00 accounts-daemon
4 S     0  1022     1  0  80   0 - 156613 -     ?        00:00:00 snapd
4 S     0  1023     1  0  80   0 - 157315 -     ?        00:00:00 lxcfs
4 S     0  1057     1  0  80   0 - 46486 -      ?        00:00:00 unattended-upgr
4 S     0  1104     1  0  80   0 - 19692 -      tty1     00:00:00 login
4 S     0  1161     1  0  80   0 - 72221 -      ?        00:00:00 polkitd
4 S     0  1186     1  0  80   0 - 18075 -      ?        00:00:00 sshd
1 I     0  1676     2  0  80   0 -     0 -      ?        00:00:00 kworker/0:0
1 I     0  1690     2  0  80   0 -     0 -      ?        00:00:00 kworker/u2:3
4 S  1000  1842     1  0  80   0 - 19189 ep_pol ?        00:00:00 systemd
5 S  1000  1847  1842  0  80   0 - 27962 -      ?        00:00:00 (sd-pam)
4 S  1000  1865  1104  0  80   0 -  5367 wait   tty1     00:00:00 bash
1 R     0  1913     2  0  80   0 -     0 -      ?        00:00:00 kworker/0:1
1 I     0  1914     2  0  80   0 -     0 -      ?        00:00:00 kworker/u2:1
1 I     0  1954     2  0  80   0 -     0 -      ?        00:00:00 kworker/u2:0
1 I     0  1956     2  0  80   0 -     0 -      ?        00:00:00 kworker/0:2
0 R  1000  1962  1865  0  80   0 -  6905 -      tty1     00:00:00 ps
